step,reward_mean,reward_std,cumulative_reward_mean,cumulative_reward_std,optimal_action_mean,optimal_action_std,regret_mean,regret_std
0,-0.2008662958725413,1.585132127311553,-0.2008662958725413,1.585132127311553,0.08,0.271293199325011,1.7140324148840924,1.6069998339200238
1,0.15302372448317061,1.4450288565411127,-0.0478425713893707,2.3940015666125296,0.14,0.34698703145794985,3.0741748094124723,2.403510257251889
2,0.3918169465353394,1.4246469220154832,0.34397437514596857,3.046892831038389,0.18,0.38418745424597167,4.195523981888683,3.073667550996755
3,0.5132643076380263,1.307379629038407,0.8572386827839942,3.585202773921573,0.22,0.4142463035441602,5.195425793262206,3.596753947913619
4,0.5350644898864062,1.3425028274040094,1.3923031726704005,4.174802281332389,0.23,0.42083250825001595,6.17352742238735,4.106960827914591
5,0.6318863084334101,1.329921605627232,2.0241894811038117,4.908951271595242,0.23,0.420832508250016,7.054807232965492,4.703777350408503
6,0.7023373257277947,1.4090433636157254,2.7265268068316058,5.616785166971046,0.22,0.4142463035441602,7.865636026249249,5.215262210686683
7,0.5282235011999731,1.2936817052299519,3.2547503080315785,6.297098241158832,0.23,0.420832508250016,8.850578644060827,5.7552161722651185
8,0.6268513492024468,1.3360650220498569,3.8816016572340253,6.872990134714079,0.25,0.4330127018922193,9.736893413869932,6.33639597446213
9,0.7309117408165242,1.290461623683227,4.612513398050551,7.488742393960607,0.26,0.4386342439892261,10.519147792064954,6.905676913464551
10,0.6410388268227736,1.3960728664717914,5.253552224873322,8.05191187825274,0.25,0.4330127018922193,11.391275084253737,7.3752296423373895
11,0.9548495343049562,1.2908224266897321,6.20840175917828,8.522747059879146,0.28,0.44899888641287283,11.949591668960329,7.5969817337521794
12,0.7907068008417412,1.3369408222870198,6.999108560020022,8.776612650252801,0.26,0.438634243989226,12.672050987130135,7.671771173097792
13,0.7794730693930653,1.2415640864381903,7.778581629413086,9.059358963102412,0.29,0.4537620521815368,13.405744036748626,7.917928204324017
14,1.147765619901806,1.1943553907906295,8.926347249314887,9.580634308644077,0.3,0.4582575694955838,13.771144535858369,8.286323179428424
15,0.8820327694251661,1.1529548089337425,9.80838001874006,10.043983178250816,0.29,0.4537620521815368,14.402277885444747,8.601806792993084
16,0.8408786937126754,1.0785515997555566,10.649258712452736,10.58464871474077,0.33,0.47021271782034957,15.074565310743619,8.961015585154595
17,0.742440909663077,1.3140194195519241,11.391699622115816,11.0488481521956,0.3,0.4582575694955838,15.8452905200921,9.370986555639522
18,0.953523214691768,1.2086162080734757,12.34522283680758,11.63349793419304,0.33,0.4702127178203495,16.404933424411883,9.688650761821581
19,1.079287991111085,1.310719696487203,13.42451082791866,12.172713315422696,0.35,0.4769696007084726,16.838811552312343,10.156535163474878
20,0.882604114233778,1.348593254313848,14.307114942152445,12.62142733858914,0.31,0.46249324319388696,17.469373557090123,10.652558060031
21,0.8400700284116044,1.3282689927579534,15.14718497056404,13.330643913300754,0.34,0.47370877129308075,18.142469647690067,11.204011215897193
22,0.9376506567014509,1.1455125569333395,16.08483562726549,13.704366077695635,0.32,0.4664761515876236,18.71798511000015,11.578144827215402
23,1.2244584287982454,1.2304685160800797,17.30929405606374,14.38191037269036,0.37,0.48280430818293274,19.00669280021348,11.848473610965268
24,1.1091814657736923,1.1823170202883628,18.418475521837433,14.860529655096867,0.34,0.47370877129308075,19.410677453451328,12.332304477687178
25,0.8968439220254126,1.330523000964379,19.315319443862837,15.296264096341169,0.35,0.4769696007084726,20.026999650437467,12.593881367980469
26,0.9751667152777819,1.3540664519277994,20.290486159140627,15.856452269596595,0.38,0.4853864439804637,20.56499905417123,13.0886404712425
27,0.9222538512568785,1.2974477296234967,21.21274001039751,16.451784593328416,0.35,0.47696960070847255,21.15591132192591,13.640998307974996
28,0.9818219894648348,1.1802886338086567,22.194561999862344,16.96607673456286,0.35,0.47696960070847255,21.687255451472623,14.060023555290018
29,0.9778699945003935,1.1731100814886977,23.172431994362746,17.431686370211807,0.39,0.48774993593028826,22.222551575983776,14.410820042703302
30,1.0419320339095757,1.227350014228595,24.21436402827232,17.909241689785876,0.41,0.49183330509431744,22.69378566108576,14.737883454396899
31,1.040952486145186,1.2872774202009267,25.2553165144175,18.569217453712717,0.37,0.4828043081829327,23.16599929395212,15.075990218726552
32,1.0135597804379166,1.2955741618847307,26.26887629485541,19.148408961745467,0.39,0.48774993593028826,23.665605632525757,15.673247989873547
33,1.1180272418371229,1.1671735760382251,27.38690353669254,19.625098892402747,0.39,0.4877499359302882,24.060744509700186,16.076565027608705
34,0.9170486942017146,1.1660353936630072,28.303952230894243,20.322859119710838,0.39,0.48774993593028826,24.65686193451003,16.520231744625747
35,1.0838372751957497,1.196559920638212,29.387789506089995,20.93051344391011,0.39,0.48774993593028826,25.086190778325822,16.949406540691353
36,0.9501716390702175,1.2548747944980179,30.33796114516023,21.478791871154563,0.35,0.47696960070847255,25.649185258267153,17.39309734431073
37,0.977262319594349,1.2129548091588487,31.315223464754567,21.936426081614993,0.38,0.48538644398046377,26.185089057684355,17.779944771099927
38,1.076250597202234,1.5166691826404068,32.39147406195679,22.581225177824074,0.41,0.49183330509431744,26.622004579493673,18.217360386087755
39,1.1602411442964549,1.2254880350329267,33.55171520625324,23.10599213215159,0.38,0.4853864439804637,26.97492955420877,18.487493446743038
40,0.9800896726802235,1.211517657091563,34.53180487893349,23.670750845010897,0.41,0.4918333050943174,27.508006000540103,18.839355588140446
41,0.8455342699414391,1.1971521311668814,35.37733914887491,24.24895861831472,0.42,0.4935585071701228,28.1756378496102,19.265624938711642
42,0.9603122702386699,1.1508554952084273,36.33765141911359,24.84672995846329,0.41,0.4918333050943174,28.728491698383085,19.78744711614602
43,1.0953700197226377,1.0907825784491012,37.43302143883624,25.028354198111714,0.38,0.48538644398046377,29.146287797672002,19.95456797635158
44,1.2585267198286079,1.271723070230926,38.69154815866483,25.604133471079475,0.4,0.4898979485566356,29.40092719685495,20.305993150610476
45,0.934851878356788,1.1586394819652257,39.626400037021604,25.89590787612347,0.39,0.48774993593028815,29.979241437509703,20.729599148234698
