step,reward_mean,reward_std,cumulative_reward_mean,cumulative_reward_std,optimal_action_mean,optimal_action_std,regret_mean,regret_std
0,0.11254114069979311,1.351997385606269,0.11254114069979311,1.351997385606269,0.09,0.2861817604250837,1.4006249783117568,1.3525932098349167
1,0.0264111040694838,1.4152075531261046,0.13895224476927695,1.9207771716826196,0.1,0.2999999999999998,2.8873799932538238,2.013581715470449
2,-0.17201692228583082,1.457378530914416,-0.03306467751655403,2.459064297994355,0.08,0.27129319932501095,4.572563034551206,2.648462034921734
3,-0.24248302015417864,1.3716614270121184,-0.2755476976707327,3.031123943299332,0.12,0.32496153618543866,6.328212173716932,3.4144594961728294
4,-0.13274460417199274,1.500907390334231,-0.4082923018427253,3.331159958730032,0.05,0.21794494717703372,7.974122896900479,3.8551489194412687
5,-0.1988975849128697,1.4164093784223883,-0.6071898867555947,3.642169292279344,0.13,0.3363034344160046,9.686186600824898,4.402950580631755
6,0.005542653911023035,1.5086418129985077,-0.601647232844572,3.9816784463510855,0.09,0.28618176042508386,11.193810065925433,4.869789076446819
7,0.20303540843117251,1.3637393106758433,-0.3986118244133995,4.14033571937948,0.16,0.36660605559646764,12.503940776505807,5.372845684340294
8,0.008364000046108402,1.3071635733255582,-0.39024782436729133,4.436539251748617,0.08,0.271293199325011,14.00874289547125,6.034711461129479
9,0.06730229861936485,1.323111981189289,-0.32294552574792634,4.300991927127343,0.1,0.2999999999999999,15.454606715863424,6.22280604150563
10,0.8026857276961562,1.2426908637250187,0.47974020194822997,4.502908995158247,0.35,0.4769696007084725,16.16508710717883,6.170734518360103
11,0.5748187351207136,1.3420279764493992,1.054558937068944,4.814666670458242,0.27,0.4439594576084626,17.103434491069667,6.220222268887066
12,0.5553234644940842,1.3717769783492677,1.6098824015630284,5.298679748515221,0.13,0.3363034344160044,18.061277145587134,6.507425847088645
13,0.4772215056210118,1.3271339870408116,2.0871039071840394,5.595349289627933,0.15,0.3570714214271427,19.097221758977675,6.811930719555635
14,0.2777540988404111,1.432378813904623,2.364858006024451,5.888990810239578,0.17,0.3756327994198591,20.332633779148804,7.321192210824159
15,0.1515540556631326,1.2348764934042054,2.5164120616875834,6.225594172380381,0.13,0.3363034344160045,21.69424584249723,7.391751799087612
16,0.10790439689655225,1.3901526926336008,2.6243164585841354,6.777673199576566,0.1,0.2999999999999998,23.099507564612228,7.887122594543906
17,0.14791985517507514,1.5463285969266907,2.7722363137592105,7.367394778005305,0.18,0.38418745424597134,24.464753828448696,8.491799883553583
18,0.11713016589081579,1.4945787332559086,2.8893664796500262,7.619050925741811,0.09,0.2861817604250834,25.860789781569423,8.9673650065123
19,0.18354532004365268,1.4624733630368902,3.0729117996936797,8.254793399942299,0.19,0.39230090491866043,27.190410580537343,9.285674279928969
20,0.09734505856853681,1.3051985066174099,3.1702568582622166,8.534309867364124,0.15,0.357071421427143,28.60623164098034,9.565424051152883
21,0.2234519327595954,1.6443737044086038,3.3937087910218127,8.938473163967236,0.19,0.39230090491866043,29.895945827232303,10.090041818595198
22,-0.013478130408633146,1.7374695286354809,3.380230660613178,9.339887081860304,0.17,0.37563279941985916,31.422590076652465,10.536865330529954
23,0.2727101887437771,1.495576749847896,3.6529408493569555,9.866608371295941,0.2,0.39999999999999974,32.663046006920254,10.717077820908555
24,0.17983763744523423,1.5289027962746509,3.832778486802189,10.363111889393974,0.19,0.3923009049186602,33.99637448848657,11.055006040067093
25,0.22356410640484983,1.3762841247038458,4.056342593207037,10.614674303133798,0.15,0.3570714214271429,35.28597650109328,11.473528094192844
26,0.3351881516181201,1.388486629333407,4.391530744825159,10.993735897979414,0.26,0.438634243989226,36.46395446848671,11.853531821975878
27,0.3445089050256731,1.5779010199895567,4.736039649850831,11.530980496983599,0.18,0.3841874542459712,37.63261168247258,12.213113812059873
28,0.30047698341980617,1.1902020272239229,5.036516633270637,11.76917332686072,0.16,0.3666060555964675,38.845300818064324,12.61833781432275
29,0.5296523308973865,1.3565068212243603,5.5661689641680265,12.008776177655024,0.27,0.4439594576084625,39.8288146061785,13.018545346151647
30,0.46736069760974497,1.3394983438357433,6.0335296617777665,12.481303828034676,0.14,0.3469870314579495,40.87462002758029,13.321740211806704
31,0.47344802566474853,1.583784223007614,6.506977687442518,12.90517126843511,0.3,0.4582575694955838,41.91433812092711,13.622855399227095
32,0.409847876200066,1.5892641814746173,6.916825563642586,13.351043298946825,0.32,0.4664761515876237,43.01765636373859,13.73506019233411
33,0.6296363154923661,1.3895122319328288,7.5464618791349505,13.624972976209826,0.23,0.4208325082500161,43.90118616725778,13.79798530182208
34,0.6384314580460042,1.3868158333474476,8.184893337180958,13.976050879110977,0.22,0.41424630354416,44.77592082822333,14.196840371215762
35,0.31169283126720854,1.3513139026347885,8.496586168448161,14.090716033761627,0.19,0.39230090491866043,45.977394115967655,14.533595251061312
36,0.20895012640124513,1.516433709364605,8.705536294849407,14.366628263672633,0.16,0.36660605559646736,47.281610108577944,14.710934001095875
37,0.5572718204814694,1.6148352176505807,9.26280811533088,14.691641418413603,0.25,0.4330127018922193,48.237504407108034,14.654885058078591
38,0.3724743379238167,1.4848988247532517,9.6352824532547,14.974969717134266,0.28,0.44899888641287283,49.3781961881958,15.079206940739097
39,0.41997195372238993,1.5057092766249376,10.05525440697708,15.272345850344243,0.22,0.4142463035441599,50.47139035348494,15.305914365451036
40,0.7499261434768353,1.3362891062473192,10.805180550453924,15.529260973540998,0.3,0.4582575694955838,51.234630329019645,15.625791966131345
41,0.40390901490615905,1.5230665482292,11.20908956536008,15.861565051273892,0.28,0.4489988864128728,52.343887433125055,16.041320855844166
42,0.32910769640657067,1.3320814357771305,11.538197261766648,16.24027128683321,0.17,0.37563279941985916,53.52794585573004,16.502874228482863
43,0.452931556511096,1.322334669995183,11.991128818277748,16.51984802788625,0.2,0.39999999999999974,54.588180418230486,16.7413475059846
44,0.4264777283339587,1.5744842496196247,12.417606546611701,17.062848777449265,0.23,0.4208325082500161,55.67486880890803,16.85298777063983
45,0.8013067348611733,1.2999477765157952,13.218913281472878,17.324351284046738,0.28,0.44899888641287283,56.38672819305846,17.278155703365165
46,0.6515952393554133,1.361229174461564,13.870508520828292,17.56309776343613,0.24,0.42708313008125287,57.24829907271459,17.36991929995072
